ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1075849176::Physical Name,1073742126::Name,1073742125::Definition,1075849148::Comments,1075849056::Physical Data Type
1075838981::145,employee first name,Column,EmployeeFirstName,EmployeeFirstName,Employee�s name,Employee�s name,varchar(20)
1075838981::146,employee address,Column,EmployeeAddress,EmployeeAddress,First line of the employee�s address,First line of the employee�s address,varchar(20)
1075838981::147,employee phone,Column,EmployeePhone,EmployeePhone,Employee�s home phone number,Employee�s home phone number,integer
1075838981::148,store manager,Column,StoreManager,StoreManager,The employee who manages the video store,The employee who manages the video store,varchar(20)
1075838981::149,store address,Column,StoreAddress,StoreAddress,The first line of the street address of the store,The first line of the street address of the store,varchar(20)
1075838981::150,store phone,Column,StorePhone,StorePhone,The store�s phone number,The store�s phone number,integer
1075838981::151,store city,Column,StoreCity,StoreCity,The city associated with the store�s address,The city associated with the store�s address,varchar(20)
1075838981::152,store state,Column,StoreState,StoreState,The state associated with the store�s address,The state associated with the store�s address,varchar(20)
1075838981::153,store zip code,Column,StoreZipCode,StoreZipCode,The zip code associated with the store�s address,The zip code associated with the store�s address,integer
1075838981::154,employee address 2,Column,EmployeeAddress_2,EmployeeAddress_2,Second line street address of the employee,Second line street address of the employee,varchar(20)
1075838981::155,store address 2,Column,StoreAddress_2,StoreAddress_2,The first line of the street address of the store,The first line of the street address of the store,varchar(20)
1075838981::156,movie title,Column,MovieTitle,MovieTitle,,,varchar(20)
1075838981::157,movie director,Column,MovieDirector,MovieDirector,Last name of the movie�s director,Last name of the movie�s director,varchar(20)
1075838981::162,rental date,Column,RentalDate,RentalDate,The date on which the movie was rented,The date on which the movie was rented,datetime
1075838981::163,due date,Column,DueDate,DueDate,The date on which the  movie is due back to the store,The date on which the  movie is due back to the store,datetime
1075838981::164,rental status,Column,RentalStatus,RentalStatus,Rental status of the movie copy,Rental status of the movie copy,varchar(20)
1075838981::165,overdue charge,Column,OverdueCharge,OverdueCharge,The amount owed for an overdue movie rental,The amount owed for an overdue movie rental,integer
1075838981::166,rental rate,Column,RentalRate,RentalRate,Amount charged for the rental of a movie,Amount charged for the rental of a movie,integer
1075838981::167,rental record date,Column,RentalRecordDate,RentalRecordDate,The date on which the rental transaction  is recorded,The date on which the rental transaction  is recorded,datetime
1075838981::169,general condition,Column,GeneralCondition,GeneralCondition,code identifying the general condition of the copy of the movie,code identifying the general condition of the copy of the movie,varchar(20)
1075838981::170,movie format,Column,MovieFormat,MovieFormat,"Defines the format of the movie copy (i.e VHS\, DVD)","Defines the format of the movie copy (i.e VHS\, DVD)",varchar(20)
1075838981::171,movie copy number,Column,MovieCopyNumber,MovieCopyNumber,A unique number  identifying the movie copy,A unique number  identifying the movie copy,integer
1075838981::174,hire date,Column,HireDate,HireDate,Employee�s date of hire at the video store,Employee�s date of hire at the video store,datetime
1075838981::175,salary,Column,Salary,Salary,Annual salary paid to the employee,Annual salary paid to the employee,integer
1075838981::176,email,Column,Email,Email,email,email,varchar(20)
1075838981::177,employee number,Column,EmployeeNumber,EmployeeNumber,A unique number that identifies the store in which the employee works,A unique number that identifies the store in which the employee works,varchar(20)
1075838981::179,description,Column,Description,Description,A brief description of the movie�s plot or story line,A brief description of the movie�s plot or story line,varchar(20)
1075838981::180,star 1 name,Column,Star_1Name,Star_1Name,Last name of the leading star of the movie,Last name of the leading star of the movie,varchar(20)
1075838981::181,rating,Column,Rating,Rating,Rating associated with the movie,Rating associated with the movie,varchar
1075838981::182,star 2 name,Column,Star_2Name,Star_2Name,Last name of the second leading star of the movie,Last name of the second leading star of the movie,varchar(20)
1075838981::183,movie number,Column,MovieNumber,MovieNumber,A unique number that identifies a movie,A unique number that identifies a movie,integer
1075838981::185,genre,Column,Genre,Genre,The genre associated with the movie,The genre associated with the movie,varchar(2)
1075838981::186,rental rate,Column,RentalRate,RentalRate,Amount charged for the rental of a movie,Amount charged for the rental of a movie,numeric
1075838981::187,movie url,Column,MovieUrl,MovieUrl,The location on the internet where the movie clip is stored,The location on the internet where the movie clip is stored,varchar
1075838981::188,movie clip,Column,MovieClip,MovieClip,Stored Movie clip,Stored Movie clip,varbinary
1075838981::189,store number,Column,StoreNumber,StoreNumber,A unique identifier of the video store,A unique identifier of the video store,integer
1075838981::204,employee number,Column,EmployeeNumber,EmployeeNumber,Employee�s home phone number,Employee�s home phone number,integer
1075838981::210,movie copy number,Column,MovieCopyNumber,MovieCopyNumber,A unique number  identifying the movie copy,A unique number  identifying the movie copy,integer
1075838981::215,movie number,Column,MovieNumber,MovieNumber,A unique number that identifies a movie,A unique number that identifies a movie,integer
1075838981::218,movie number,Column,MovieNumber,MovieNumber,A unique number that identifies a movie,A unique number that identifies a movie,integer
1075838981::223,store number,Column,StoreNumber,StoreNumber,A unique identifier of the video store,A unique identifier of the video store,integer
1075838981::227,supervisor,Column,Supervisor,Supervisor,A unique number that identifies the employee,A unique number that identifies the employee,varchar(20)
1075838981::244,customer number,Column,CustomerNumber,CustomerNumber,A unique number associated with Customer,A unique number associated with Customer,integer
1075838981::246,customer address,Column,CustomerAddress,CustomerAddress,Street address of the customer,Street address of the customer,varchar(20)
1075838981::247,customer city,Column,CustomerCity,CustomerCity,City associated with Customer�s address,City associated with Customer�s address,varchar(20)
1075838981::248,customer first name,Column,CustomerFirstName,CustomerFirstName,First name of a Customer,First name of a Customer,varchar(20)
1075838981::249,customer last name,Column,CustomerLastName,CustomerLastName,Last name of a Customer,Last name of a Customer,varchar(20)
1075838981::250,customer state,Column,CustomerState,CustomerState,The two-character state abbreviation associated with customer�s address,The two-character state abbreviation associated with customer�s address,varchar(20)
1075838981::251,customer zip code,Column,CustomerZipCode,CustomerZipCode,zip-code associated with Customer�s address,zip-code associated with Customer�s address,integer
1075838981::252,email,Column,Email,Email,The email address associated with a customer,The email address associated with a customer,varchar
1075838981::259,customer number,Column,CustomerNumber,CustomerNumber,A unique number associated with Customer,A unique number associated with Customer,integer
1075838981::264,card id,Column,CardId,CardId,A unique number associated with Customer,A unique number associated with Customer,integer
1075838981::266,credit card,Column,CreditCard,CreditCard,A credit card number associated with Customer,A credit card number associated with Customer,integer
1075838981::267,credit card exp,Column,CreditCardExp,CreditCardExp,Expiration date on the customer�s credit card,Expiration date on the customer�s credit card,integer
1075838981::268,status code,Column,StatusCode,StatusCode,Payment status associated with a Customer,Payment status associated with a Customer,varchar(20)
